,County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1
0,"US (SEER+NPCR)(1,10)",0,***,441.2 ,440.9, 441.5,1580653,falling,-1.4 ,-2.0, -0.7
1,"Union County, Florida(6,10)",12125,***,1195.2 ,1119.6, 1274.8,210,falling,-7.0 ,-10.5, -3.3
2,"Powell County, Kentucky(7,8)",21197,***,669.9 ,609.5, 734.8,96,stable,1.5 ,0.0, 3.0
3,"Thomas County, Nebraska(6,10)",31171,***,669.3 ,448.9, 971.5,7,falling,-12.2 ,-22.4, -0.8
4,"Logan County, Nebraska(6,10)",31113,***,647.5 ,423.9, 950,6,stable,-1.9 ,-46.4, 79.7
5,"Sheridan County, North Dakota(6,10)",38083,***,630.8 ,464.6, 845,14,stable,-8.8 ,-35.0, 28.1
6,"Kingsbury County, South Dakota(6,10)",46077,***,617.4 ,533.8, 711.5,45,stable,2.2 ,-11.1, 17.4
7,"Bracken County, Kentucky(7,8)",21023,***,615.4 ,547.9, 689.4,63,stable,1.8 ,-0.4, 4.0
8,"Estill County, Kentucky(7,8)",21065,***,612.6 ,561, 667.8,111,rising,1.3 ,0.1, 2.5
9,"Trimble County, Kentucky(7,8)",21223,***,611.7 ,544, 685.8,63,rising,2.6 ,0.4, 4.9
10,"Harding County, New Mexico(7,8)",35021,***,609.4 ,384.3, 935.8,7,rising,3.6 ,1.3, 5.9
11,"Nicholas County, Kentucky(7,8)",21181,***,602.4 ,531.5, 680.7,55,stable,1.5 ,-0.5, 3.6
12,"Carter County, Kentucky(7,8)",21043,***,595.4 ,557.6, 635.2,195,rising,2.5 ,0.8, 4.2
13,"McCreary County, Kentucky(7,8)",21147,***,588.1 ,540.7, 638.7,120,stable,0.3 ,-1.2, 1.9
14,"Catahoula Parish, Louisiana(7,8)",22025,***,586 ,526.4, 650.9,74,stable,1.4 ,-0.3, 3.1
15,"Petroleum County, Montana(6,10)",30069,***,584 ,361.8, 927.1,4,stable,2.7 ,-44.7, 90.7
16,"Robertson County, Kentucky(7,8)",21201,***,582.5 ,463.6, 725.5,18,stable,1.7 ,-1.7, 5.2
17,"Perry County, Kentucky(7,8)",21193,***,581.5 ,544.7, 620.2,197,stable,0.6 ,-0.4, 1.6
18,"Taylor County, Kentucky(7,8)",21217,***,580.1 ,542.3, 620.1,183,rising,7.7 ,3.0, 12.7
