,calculationType,coordinateId,dataValue,display,displayId,displayValue,geo,geoAbbreviation,geoId,geographicTypeId,groupById,hatchingId,hexValue,id,noDataBreakGroup,noDataId,parentGeo,parentGeoAbbreviation,parentGeoId,populationServed,pwsId,pwsName,stabilityFlag,suppressionFlag,title,year
0,Annual Mean,6,1.00,Non Detect,3,1.00,Alameda,06001,06001,2,1,-1,#000000,235478,0,-1,California,CA,06,340000,CA0110001,ALAMEDA COUNTY WATER DISTRICT,1,0,"Alameda, CA",2015
1,Annual Mean,7,0.83,Less than or equal MCL,2,0.83,Alameda,06001,06001,2,1,-1,#75c376,227744,0,-1,California,CA,06,56700,CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,1,0,"Alameda, CA",2015
2,Annual Mean,8,1.00,Non Detect,3,1.00,Alameda,06001,06001,2,1,-1,#000000,246413,0,-1,California,CA,06,1379000,CA0110005,EAST BAY MUD,1,0,"Alameda, CA",2015
3,Annual Mean,21,1.00,Non Detect,3,1.00,Alpine,06003,06003,2,1,-1,#000000,165574,0,-1,California,CA,06,2650,CA0210001,LAKE ALPINE WATER COMPANY,1,0,"Alpine, CA",2015
4,Annual Mean,46,1.00,Non Detect,3,1.00,Amador,06005,06005,2,1,-1,#000000,191648,0,-1,California,CA,06,8800,CA0310012,AWA BUCKHORN PLANT,1,0,"Amador, CA",2015
5,Annual Mean,36,1.00,Non Detect,3,1.00,Amador,06005,06005,2,1,-1,#000000,168897,0,-1,California,CA,06,5339,CA0310002,"AWA, IONE",1,0,"Amador, CA",2015
6,Annual Mean,39,1.00,Non Detect,3,1.00,Amador,06005,06005,2,1,-1,#000000,246881,0,-1,California,CA,06,840,CA0310005,PINE GROVE COMM SERV DIST,1,0,"Amador, CA",2015
7,Annual Mean,54,1.00,Non Detect,3,1.00,Amador,06005,06005,2,1,-1,#000000,199710,0,-1,California,CA,06,600,CA0310020,THE OAKS MOBILE HOME PARK,1,0,"Amador, CA",2015
8,Annual Mean,66,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,207990,0,-1,California,CA,06,99,CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,1,0,"Butte, CA",2015
9,Annual Mean,75,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,194204,0,-1,California,CA,06,85,CA0400028,BIG BEND MOBILE HOME PARK,1,0,"Butte, CA",2015
10,Annual Mean,97,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,177670,0,-1,California,CA,06,50,CA0409181,BLUE OAK TERRACE MUTUAL,1,0,"Butte, CA",2015
11,Annual Mean,61,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,250510,0,-1,California,CA,06,399,CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,1,0,"Butte, CA",2015
12,Annual Mean,100,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,231981,0,-1,California,CA,06,100435,CA0410002,CAL-WATER SERVICE CO.-CHICO,1,0,"Butte, CA",2015
13,Annual Mean,103,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,266912,0,-1,California,CA,06,9427,CA0410005,CAL-WATER SERVICE CO.-OROVILLE,1,0,"Butte, CA",2015
14,Annual Mean,71,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,168278,0,-1,California,CA,06,34,CA0400023,GOLDEN OAKS MOBILE ESTATES,1,0,"Butte, CA",2015
15,Annual Mean,92,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,140212,0,-1,California,CA,06,50,CA0400123,HUMBOLDT HIGHLANDS MUTUAL,1,0,"Butte, CA",2015
16,Annual Mean,94,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,224937,0,-1,California,CA,06,95,CA0400151,KEEFER CREEK ESTATES MUTUAL,1,0,"Butte, CA",2015
17,Annual Mean,65,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,153244,0,-1,California,CA,06,297,CA0400014,LAKE MADRONE WATER DISTRICT,1,0,"Butte, CA",2015
18,Annual Mean,90,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,136599,0,-1,California,CA,06,40,CA0400090,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,1,0,"Butte, CA",2015
19,Annual Mean,67,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,219240,0,-1,California,CA,06,74,CA0400019,OROVILLE MOBILE HOME PARK,1,0,"Butte, CA",2015
20,Annual Mean,68,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,253448,0,-1,California,CA,06,327,CA0400020,PLEASANT GROVE MHP,1,0,"Butte, CA",2015
21,Annual Mean,106,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,218314,0,-1,California,CA,06,9513,CA0410008,THERMALITO WATER & SEWER DISTRICT,1,0,"Butte, CA",2015
22,Annual Mean,122,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,220917,0,-1,California,CA,06,3441,CA0510003,"ANGELS, CITY OF",1,0,"Calaveras, CA",2015
23,Annual Mean,129,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,134311,0,-1,California,CA,06,180,CA0510012,CAMANCHE SOUTH SHORE-EBMUD,1,0,"Calaveras, CA",2015
24,Annual Mean,131,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,145099,0,-1,California,CA,06,6735,CA0510017,CCWD - COPPER COVE,1,0,"Calaveras, CA",2015
25,Annual Mean,130,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,252627,0,-1,California,CA,06,14340,CA0510016,CCWD - EBBETTS PASS,1,0,"Calaveras, CA",2015
26,Annual Mean,125,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,214700,0,-1,California,CA,06,10170,CA0510006,CCWD - JENNY LIND,1,0,"Calaveras, CA",2015
27,Annual Mean,123,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,156559,0,-1,California,CA,06,100,CA0510004,CCWD - SHEEP RANCH,1,0,"Calaveras, CA",2015
28,Annual Mean,115,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,241453,0,-1,California,CA,06,125,CA0500019,MINERAL MOUNTAIN MUTUAL WATER,1,0,"Calaveras, CA",2015
29,Annual Mean,120,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,158142,0,-1,California,CA,06,4300,CA0510001,UNION PUBLIC UTILITY DISTRICT,1,0,"Calaveras, CA",2015
