,calculationType,coordinateId,dataValue,display,displayId,displayValue,geo,geoAbbreviation,geoId,geographicTypeId,groupById,hatchingId,hexValue,id,noDataBreakGroup,noDataId,parentGeo,parentGeoAbbreviation,parentGeoId,populationServed,pwsId,pwsName,stabilityFlag,suppressionFlag,title,year
0,Annual Mean,6,1.00,Non Detect,3,1.00,Alameda,06001,06001,2,1,-1,#000000,196101,0,-1,California,CA,06,340000,CA0110001,ALAMEDA COUNTY WATER DISTRICT,1,0,"Alameda, CA",2016
1,Annual Mean,8,1.00,Non Detect,3,1.00,Alameda,06001,06001,2,1,-1,#000000,163830,0,-1,California,CA,06,1379000,CA0110005,EAST BAY MUD,1,0,"Alameda, CA",2016
2,Annual Mean,14,1.00,Non Detect,3,1.00,Alameda,06001,06001,2,1,-1,#000000,131264,0,-1,California,CA,06,450,CA0110012,TOWN OF SUNOL-SFPUC,1,0,"Alameda, CA",2016
3,Annual Mean,12,1.00,Non Detect,3,1.00,Alameda,06001,06001,2,1,-1,#000000,224210,0,-1,California,CA,06,40,CA0110010,ZONE 7 WATER AGENCY,1,0,"Alameda, CA",2016
4,Annual Mean,22,1.00,Non Detect,3,1.00,Alpine,06003,06003,2,1,-1,#000000,240930,0,-1,California,CA,06,101,CA0210002,KIRKWOOD MEADOWS PUBILC UTILIT,1,0,"Alpine, CA",2016
5,Annual Mean,21,1.00,Non Detect,3,1.00,Alpine,06003,06003,2,1,-1,#000000,137020,0,-1,California,CA,06,2650,CA0210001,LAKE ALPINE WATER COMPANY,1,0,"Alpine, CA",2016
6,Annual Mean,20,1.00,Non Detect,3,1.00,Alpine,06003,06003,2,1,-1,#000000,245809,0,-1,California,CA,06,70,CA0202522,SIERRA PINES MOBILE HOME PARK,1,0,"Alpine, CA",2016
7,Annual Mean,46,1.00,Non Detect,3,1.00,Amador,06005,06005,2,1,-1,#000000,163824,0,-1,California,CA,06,8606,CA0310012,AWA BUCKHORN PLANT,1,0,"Amador, CA",2016
8,Annual Mean,36,1.00,Non Detect,3,1.00,Amador,06005,06005,2,1,-1,#000000,167926,0,-1,California,CA,06,6919,CA0310002,"AWA, IONE",1,0,"Amador, CA",2016
9,Annual Mean,34,1.00,Non Detect,3,1.00,Amador,06005,06005,2,1,-1,#000000,138808,0,-1,California,CA,06,62,CA0300078,IONE BAND OF MIWOK INDIANS,1,0,"Amador, CA",2016
10,Annual Mean,32,1.00,Non Detect,3,1.00,Amador,06005,06005,2,1,-1,#000000,196237,0,-1,California,CA,06,34,CA0300053,RANCHO DEL ORO,1,0,"Amador, CA",2016
11,Annual Mean,54,1.00,Non Detect,3,1.00,Amador,06005,06005,2,1,-1,#000000,252324,0,-1,California,CA,06,600,CA0310020,THE OAKS MOBILE HOME PARK,1,0,"Amador, CA",2016
12,Annual Mean,66,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,264242,0,-1,California,CA,06,99,CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,1,0,"Butte, CA",2016
13,Annual Mean,61,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,223560,0,-1,California,CA,06,399,CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,1,0,"Butte, CA",2016
14,Annual Mean,100,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,164210,0,-1,California,CA,06,100435,CA0410002,CAL-WATER SERVICE CO.-CHICO,1,0,"Butte, CA",2016
15,Annual Mean,103,2.50,Less than or equal MCL,2,2.50,Butte,06007,06007,2,1,-1,#75c376,130409,0,-1,California,CA,06,9427,CA0410005,CAL-WATER SERVICE CO.-OROVILLE,1,0,"Butte, CA",2016
16,Annual Mean,88,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,210482,0,-1,California,CA,06,41,CA0400078,FOREST KNOLLS MUTUAL WATER CO,1,0,"Butte, CA",2016
17,Annual Mean,76,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,199791,0,-1,California,CA,06,275,CA0400030,GOLDEN FEATHER MHP,1,0,"Butte, CA",2016
18,Annual Mean,65,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,189232,0,-1,California,CA,06,297,CA0400014,LAKE MADRONE WATER DISTRICT,1,0,"Butte, CA",2016
19,Annual Mean,64,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,133660,0,-1,California,CA,06,100,CA0400013,MERRY MOUNTAIN MUTUAL,1,0,"Butte, CA",2016
20,Annual Mean,77,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,235462,0,-1,California,CA,06,230,CA0400036,MOUNTAIN VIEW MOBILE ACRES MHP LLC,1,0,"Butte, CA",2016
21,Annual Mean,69,8.00,Less than or equal MCL,2,8.00,Butte,06007,06007,2,1,-1,#75c376,247403,0,-1,California,CA,06,20,CA0400021,ROBINSON'S CORNER MHP,1,0,"Butte, CA",2016
22,Annual Mean,109,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,263040,0,-1,California,CA,06,63,CA0410012,SFWP-BANGOR,1,0,"Butte, CA",2016
23,Annual Mean,98,1.00,Non Detect,3,1.00,Butte,06007,06007,2,1,-1,#000000,259192,0,-1,California,CA,06,120,CA0409183,SIERRA MOON WATER COMPANY,1,0,"Butte, CA",2016
24,Annual Mean,122,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,156788,0,-1,California,CA,06,3836,CA0510003,"ANGELS, CITY OF",1,0,"Calaveras, CA",2016
25,Annual Mean,121,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,214144,0,-1,California,CA,06,4758,CA0510002,CALAVERAS PUD,1,0,"Calaveras, CA",2016
26,Annual Mean,129,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,204090,0,-1,California,CA,06,180,CA0510012,CAMANCHE SOUTH SHORE-EBMUD,1,0,"Calaveras, CA",2016
27,Annual Mean,131,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,184102,0,-1,California,CA,06,7092,CA0510017,CCWD - COPPER COVE,1,0,"Calaveras, CA",2016
28,Annual Mean,130,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,256960,0,-1,California,CA,06,21397,CA0510016,CCWD - EBBETTS PASS,1,0,"Calaveras, CA",2016
29,Annual Mean,125,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,258521,0,-1,California,CA,06,13756,CA0510006,CCWD - JENNY LIND,1,0,"Calaveras, CA",2016
30,Annual Mean,123,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,256402,0,-1,California,CA,06,134,CA0510004,CCWD - SHEEP RANCH,1,0,"Calaveras, CA",2016
31,Annual Mean,132,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,125430,0,-1,California,CA,06,340,CA0510019,CCWD - WALLACE,1,0,"Calaveras, CA",2016
32,Annual Mean,124,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,254697,0,-1,California,CA,06,1588,CA0510005,CCWD - WEST POINT,1,0,"Calaveras, CA",2016
33,Annual Mean,117,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,266232,0,-1,California,CA,06,99,CA0500068,DUNROVIN MOBILE HOME VILLAGE,1,0,"Calaveras, CA",2016
34,Annual Mean,120,1.00,Non Detect,3,1.00,Calaveras,06009,06009,2,1,-1,#000000,160097,0,-1,California,CA,06,4300,CA0510001,UNION PUBLIC UTILITY DISTRICT,1,0,"Calaveras, CA",2016
35,Annual Mean,139,2.33,Less than or equal MCL,2,2.33,Colusa,06011,06011,2,1,-1,#75c376,229825,0,-1,California,CA,06,2300,CA0610001,ARBUCKLE PUBLIC UTILITY DISTRICT,1,0,"Colusa, CA",2016
36,Annual Mean,138,1.00,Non Detect,3,1.00,Colusa,06011,06011,2,1,-1,#000000,228908,0,-1,California,CA,06,136,CA0605011,DEL ORO WC - ARBUCKLE DISTRICT,1,0,"Colusa, CA",2016
37,Annual Mean,141,6.00,Less than or equal MCL,2,6.00,Colusa,06011,06011,2,1,-1,#75c376,135940,0,-1,California,CA,06,1323,CA0610003,MAXWELL PUBLIC UTILITY DISTRICT,1,0,"Colusa, CA",2016
38,Annual Mean,160,5.33,Less than or equal MCL,2,5.33,Contra Costa,06013,06013,2,1,-1,#75c376,229822,0,-1,California,CA,06,210,CA0707569,ANGLERS SUBDIVISION 4,1,0,"Contra Costa, CA",2016
39,Annual Mean,170,21.00,Greater than MCL,1,21.00,Contra Costa,06013,06013,2,1,-1,#F28500,222178,0,-1,California,CA,06,93,CA0707589,BELLA VISTA WATER SYS,1,0,"Contra Costa, CA",2016
40,Annual Mean,161,9.60,Less than or equal MCL,2,9.60,Contra Costa,06013,06013,2,1,-1,#75c376,192602,0,-1,California,CA,06,149,CA0707572,BETHEL ISLAND MUTUAL WATER CO,1,0,"Contra Costa, CA",2016
41,Annual Mean,169,3.20,Less than or equal MCL,2,3.20,Contra Costa,06013,06013,2,1,-1,#75c376,144426,0,-1,California,CA,06,156,CA0707588,BIG OAK MOBILE HOME PARK WATER,1,0,"Contra Costa, CA",2016
42,Annual Mean,174,1.00,Non Detect,3,1.00,Contra Costa,06013,06013,2,1,-1,#000000,225557,0,-1,California,CA,06,210,CA0707598,CAMINO MOBILEHOME,1,0,"Contra Costa, CA",2016
43,Annual Mean,172,5.10,Less than or equal MCL,2,5.10,Contra Costa,06013,06013,2,1,-1,#75c376,259706,0,-1,California,CA,06,45,CA0707594,CASA MEDANOS WATER SYSTEM,1,0,"Contra Costa, CA",2016
44,Annual Mean,162,9.00,Less than or equal MCL,2,9.00,Contra Costa,06013,06013,2,1,-1,#75c376,129337,0,-1,California,CA,06,225,CA0707573,DELTA MUTUAL WATER COMPANY,1,0,"Contra Costa, CA",2016
45,Annual Mean,188,1.00,Non Detect,3,1.00,Contra Costa,06013,06013,2,1,-1,#000000,143121,0,-1,California,CA,06,36014,CA0710007,DIABLO WATER DISTRICT,1,0,"Contra Costa, CA",2016
46,Annual Mean,180,26.00,Greater than MCL,1,26.00,Contra Costa,06013,06013,2,1,-1,#F28500,242741,0,-1,California,CA,06,49,CA0707615,DOUBLETREE RANCH WATER SYSTEM,1,0,"Contra Costa, CA",2016
47,Annual Mean,152,1.00,Non Detect,3,1.00,Contra Costa,06013,06013,2,1,-1,#000000,144613,0,-1,California,CA,06,49,CA0707519,DUTCH SLOUGH WATER WORKS,1,0,"Contra Costa, CA",2016
48,Annual Mean,144,6.90,Less than or equal MCL,2,6.90,Contra Costa,06013,06013,2,1,-1,#75c376,159910,0,-1,California,CA,06,140,CA0706005,FARRAR PARK PROPERTY OWNERS,1,0,"Contra Costa, CA",2016
49,Annual Mean,153,6.40,Less than or equal MCL,2,6.40,Contra Costa,06013,06013,2,1,-1,#75c376,146432,0,-1,California,CA,06,200,CA0707523,FLAMINGO MOBILE MANOR,1,0,"Contra Costa, CA",2016
50,Annual Mean,143,13.00,Greater than MCL,1,13.00,Contra Costa,06013,06013,2,1,-1,#F28500,154301,0,-1,California,CA,06,170,CA0706004,OAKLEY MUTUAL WATER COMPANY,1,0,"Contra Costa, CA",2016
51,Annual Mean,165,3.43,Less than or equal MCL,2,3.43,Contra Costa,06013,06013,2,1,-1,#75c376,201899,0,-1,California,CA,06,380,CA0707576,PLEASANTIMES MUTUAL WATER CO,1,0,"Contra Costa, CA",2016
52,Annual Mean,166,2.85,Less than or equal MCL,2,2.85,Contra Costa,06013,06013,2,1,-1,#75c376,209266,0,-1,California,CA,06,230,CA0707577,RIVERVIEW WATER ASSOCIATION,1,0,"Contra Costa, CA",2016
53,Annual Mean,173,1.00,Non Detect,3,1.00,Contra Costa,06013,06013,2,1,-1,#000000,173760,0,-1,California,CA,06,94,CA0707597,SANDY POINT MOBILE HOME PARK,1,0,"Contra Costa, CA",2016
54,Annual Mean,220,1.00,Non Detect,3,1.00,El Dorado,06017,06017,2,1,-1,#000000,145323,0,-1,California,CA,06,112000,CA0910001,EL DORADO ID - MAIN,1,0,"El Dorado, CA",2016
55,Annual Mean,230,1.00,Non Detect,3,1.00,El Dorado,06017,06017,2,1,-1,#000000,257155,0,-1,California,CA,06,497,CA0910018,EL DORADO ID - OUTINGDALE,1,0,"El Dorado, CA",2016
56,Annual Mean,229,1.00,Non Detect,3,1.00,El Dorado,06017,06017,2,1,-1,#000000,182990,0,-1,California,CA,06,358,CA0910017,EL DORADO ID - STRAWBERRY,1,0,"El Dorado, CA",2016
57,Annual Mean,210,13.80,Greater than MCL,1,13.80,El Dorado,06017,06017,2,1,-1,#F28500,157550,0,-1,California,CA,06,100,CA0900102,GOLD BEACH PARK,1,0,"El Dorado, CA",2016
58,Annual Mean,223,1.00,Non Detect,3,1.00,El Dorado,06017,06017,2,1,-1,#000000,262926,0,-1,California,CA,06,1300,CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,1,0,"El Dorado, CA",2016
59,Annual Mean,224,5.00,Less than or equal MCL,2,5.00,El Dorado,06017,06017,2,1,-1,#75c376,241471,0,-1,California,CA,06,250,CA0910007,LUKINS BROTHERS WATER COMPANY,1,0,"El Dorado, CA",2016
